"y","by","type","post_mean","post_prob_greater_0","cred_lower_025","cred_lower_975"
"underweight","Older","Capabilities",0.334815859108903,0.898875,-0.183428131686858,0.852153930967964
"underweight","Older","Choice",0.0152395923754657,0.6927,-0.117149363029112,0.157169343118771
"underweight","Older","Functioning",0.350055451484369,0.92115,-0.134058138735117,0.846007312914146
"underweight","Overall","Capabilities",0.0234384333363787,0.546575,-0.351147300632505,0.399202262053564
"underweight","Overall","Choice",0.0260634848741196,0.73255,-0.085791866569604,0.156393911853784
"underweight","Overall","Functioning",0.0495019182104983,0.6078,-0.291695650203531,0.396500016923348
"underweight","Younger","Capabilities",-0.247484444993258,0.1588,-0.729492152720134,0.241335236373185
"underweight","Younger","Choice",0.039185989155521,0.726425,-0.121697859024845,0.223981384901959
"underweight","Younger","Functioning",-0.208298455837737,0.1806,-0.65488664355365,0.247018922881968
"wasting","Older","Capabilities",0.510568212482056,0.983525,0.0433878908498384,0.975307295581623
"wasting","Older","Choice",0.0594893113743675,0.7713,-0.1106114668013,0.376288954536128
"wasting","Older","Functioning",0.570057523856423,0.9903,0.100701071737813,1.08238919259155
"wasting","Overall","Capabilities",0.0951395535006923,0.7166,-0.243288685912786,0.425850443972898
"wasting","Overall","Choice",0.0620966366651437,0.793925,-0.0794442605840288,0.384204911918832
"wasting","Overall","Functioning",0.157236190165836,0.809775,-0.183161190358175,0.569398036667268
"wasting","Younger","Capabilities",-0.266316090731123,0.123125,-0.717490961772241,0.175472473706605
"wasting","Younger","Choice",0.0671248836997474,0.7634,-0.112653306058897,0.503665586847565
"wasting","Younger","Functioning",-0.199191207031376,0.186575,-0.655147524177537,0.395213855709015
"stunting","Older","Capabilities",-0.35212164374276,0.139425,-0.9898246096955,0.285650068324912
"stunting","Older","Choice",0.0106393488743493,0.643525,-0.121394548289231,0.17307005623495
"stunting","Older","Functioning",-0.341482294868411,0.1397,-0.96098586634271,0.282598969106263
"stunting","Overall","Capabilities",-0.321193492476027,0.08785,-0.792881785036241,0.146963032309167
"stunting","Overall","Choice",0.017042973597614,0.665725,-0.0834217121857335,0.16500785975831
"stunting","Overall","Functioning",-0.304150518878413,0.0892,-0.740987184601337,0.142453860013686
"stunting","Younger","Capabilities",-0.294283565586468,0.173275,-0.924485975978951,0.314884485380789
"stunting","Younger","Choice",0.0271163886891873,0.66705,-0.124300830030316,0.259841946619119
"stunting","Younger","Functioning",-0.267167176897281,0.1831,-0.850387019431853,0.316260822155644
"micronutrients","Older","Capabilities",-0.24590423203113,0.0349,-0.514813000141935,0.0189935565569154
"micronutrients","Older","Choice",0.185589200282452,0.935825,-0.0487663358594818,0.469011497725783
"micronutrients","Older","Functioning",-0.060315031748678,0.354775,-0.38808244021231,0.28671266621146
"micronutrients","Overall","Capabilities",-0.247988261177851,0.0113,-0.461782927084761,-0.0368237691791852
"micronutrients","Overall","Choice",0.373814324989965,0.9998,0.142152746298146,0.649010623598483
"micronutrients","Overall","Functioning",0.125826063812113,0.7955,-0.16050765241913,0.43711410677433
"micronutrients","Younger","Capabilities",-0.2509213392362,0.0685,-0.587124789794339,0.0781941198682684
"micronutrients","Younger","Choice",0.744840789558569,0.9999,0.311939496906321,1.32828651480389
"micronutrients","Younger","Functioning",0.493919450322369,0.967975,-0.0244466397052006,1.11211458596784
"fruits and vegetables","Older","Capabilities",0.138692213336412,0.8187,-0.163901057695448,0.439342769012738
"fruits and vegetables","Older","Choice",0.0863378115945744,0.6489,-0.25112974471621,0.533073263012663
"fruits and vegetables","Older","Functioning",0.225030024930986,0.8177,-0.236522881685138,0.757317701718368
"fruits and vegetables","Overall","Capabilities",0.317985505455407,0.996175,0.082428210836596,0.55380901700003
"fruits and vegetables","Overall","Choice",0.15938777216799,0.84295,-0.122252915706206,0.527006352651135
"fruits and vegetables","Overall","Functioning",0.477373277623397,0.994175,0.10314869923801,0.907820904222143
"fruits and vegetables","Younger","Capabilities",0.570324212882138,0.998725,0.207374132114461,0.939497638019448
"fruits and vegetables","Younger","Choice",0.290738131514903,0.91275,-0.107823109751222,0.849722619272657
"fruits and vegetables","Younger","Functioning",0.861062344397041,0.9989,0.30537762785179,1.520122279136
"animal products","Older","Capabilities",0.266406995627638,0.963975,-0.023280189210599,0.557909160978391
"animal products","Older","Choice",0.121378726278478,0.76655,-0.185319536429487,0.468226296072952
"animal products","Older","Functioning",0.387785721906116,0.97345,-0.00511550940286285,0.805275925422731
"animal products","Overall","Capabilities",0.182672334852172,0.940825,-0.0479598452671158,0.412671630218882
"animal products","Overall","Choice",0.209512401539126,0.9534,-0.0335828199582626,0.47840700100186
"animal products","Overall","Functioning",0.392184736391298,0.993325,0.0830152968398779,0.713281258355838
"animal products","Younger","Capabilities",0.0648235530200363,0.637,-0.293052892057318,0.425706380927053
"animal products","Younger","Choice",0.342503762309269,0.966925,-0.0214200008463117,0.771453244158083
"animal products","Younger","Functioning",0.407327315329306,0.9522,-0.0671904574488888,0.919531927842025
"dietary diversity","Older","Capabilities",0.15292666225476,0.87865,-0.12439323488049,0.392575387384528
"dietary diversity","Older","Choice",0.0522640464478317,0.697,-0.065911914796387,0.378225301553043
"dietary diversity","Older","Functioning",0.205190708702592,0.952975,-0.0362274739544769,0.461029149898989
"dietary diversity","Overall","Capabilities",0.217104094728901,0.9671,-0.0184285117366517,0.415958301483931
"dietary diversity","Overall","Choice",0.0539662023562272,0.693925,-0.0738683108426702,0.351959293214342
"dietary diversity","Overall","Functioning",0.271070297085128,0.996625,0.0765573313062174,0.481318301287988
