"y","by","type","post_mean","post_prob_greater_0","cred_lower_025","cred_lower_975"
"underweight","Older","Capabilities",0.0835345396704353,0.64015,-0.376900162310162,0.544604769994824
"underweight","Older","Choice",0.0334935288392703,0.779925,-0.080192696682993,0.200409694861584
"underweight","Older","Functioning",0.117028068509706,0.70325,-0.321628201256036,0.556285315908386
"underweight","Overall","Capabilities",-0.190620338899662,0.117275,-0.507079860228978,0.123603607925869
"underweight","Overall","Choice",0.0344288399494867,0.80825,-0.0577682148445127,0.156335839901964
"underweight","Overall","Functioning",-0.156191498950175,0.14385,-0.447471123662906,0.13380950801351
"underweight","Younger","Capabilities",-0.466499461989069,0.010575,-0.857473261440446,-0.0759282285606716
"underweight","Younger","Choice",0.0356251806859163,0.77725,-0.0873960885781884,0.167564356429769
"underweight","Younger","Functioning",-0.430874281303152,0.01095,-0.783979898270777,-0.0687556288483078
"wasting","Older","Capabilities",0.407988510933619,0.972075,-0.00859496638042916,0.822212121268018
"wasting","Older","Choice",0.0296163832538812,0.754325,-0.0662524566428686,0.184761976836409
"wasting","Older","Functioning",0.4376048941875,0.984425,0.0360482017024776,0.837814047248791
"wasting","Overall","Capabilities",0.0246574948373752,0.5683,-0.258222939748694,0.311636228514879
"wasting","Overall","Choice",0.026256928789644,0.75405,-0.0671105878979946,0.138290683555472
"wasting","Overall","Functioning",0.0509144236270192,0.646525,-0.21283057264629,0.318621540515571
"wasting","Younger","Capabilities",-0.361084408152557,0.0293,-0.721338646608726,0.0146260445609918
"wasting","Younger","Choice",0.0197443383580121,0.702775,-0.134135718187368,0.14990797537665
"wasting","Younger","Functioning",-0.341340069794545,0.027225,-0.677923596653616,0.00655866460103674
"stunting","Older","Capabilities",-0.41754863198432,0.08285,-1.023748631098,0.176322665166139
"stunting","Older","Choice",0.037662422655455,0.7369,-0.0920675495321745,0.28331305827093
"stunting","Older","Functioning",-0.379886209328865,0.094975,-0.95703227807988,0.192427177019743
"stunting","Overall","Capabilities",-0.416053776213858,0.024975,-0.849901195675201,-9.30758766639712e-05
"stunting","Overall","Choice",0.0355255275155556,0.74915,-0.0769743535243015,0.219115334497662
"stunting","Overall","Functioning",-0.380528248698302,0.027025,-0.773721699888235,0.00860493478731645
"stunting","Younger","Capabilities",-0.414549518834776,0.05535,-0.938988213519648,0.0950061982416413
"stunting","Younger","Choice",0.0357275959334182,0.712925,-0.129882444764384,0.250336404459627
"stunting","Younger","Functioning",-0.378821922901358,0.058925,-0.858166705858476,0.0932777333209538
"micronutrients","Older","Capabilities",-0.260010946495944,0.009925,-0.479777633617866,-0.0413348622687897
"micronutrients","Older","Choice",0.278145882746599,0.992975,0.0458273661088276,0.5648786782842
"micronutrients","Older","Functioning",0.0181349362506548,0.5356,-0.269677438277078,0.332189533444813
"micronutrients","Overall","Capabilities",-0.163876290957467,0.03005,-0.334381482888523,0.00716199988189999
"micronutrients","Overall","Choice",0.490148506182296,1,0.261778467615193,0.758429811447862
"micronutrients","Overall","Functioning",0.326272215224829,0.99435,0.0682331434103191,0.607959887738884
"micronutrients","Younger","Capabilities",0.0118737576044802,0.536325,-0.238123207251176,0.261824525362634
"micronutrients","Younger","Choice",1.04923409904219,1,0.615707536131384,1.58380490029837
"micronutrients","Younger","Functioning",1.06110785664667,1,0.590199296152701,1.61597056050645
"fruits and vegetables","Older","Capabilities",0.210859691793302,0.949925,-0.0402228066271102,0.459050541223819
"fruits and vegetables","Older","Choice",0.0608293059356021,0.60315,-0.224731938852506,0.458930157057634
"fruits and vegetables","Older","Functioning",0.271688997728904,0.9051,-0.117743020688753,0.730606150119515
"fruits and vegetables","Overall","Capabilities",0.320885119375591,0.999625,0.130345538174335,0.509657757381143
"fruits and vegetables","Overall","Choice",0.161925984105735,0.886275,-0.0810970128479279,0.478647672731107
"fruits and vegetables","Overall","Functioning",0.482811103481325,0.999175,0.165207982005335,0.849835220354003
"fruits and vegetables","Younger","Capabilities",0.522029796415563,0.9999,0.245799032218078,0.800976563432512
"fruits and vegetables","Younger","Choice",0.35811972911997,0.9825,0.0225377634106252,0.80965608558915
"fruits and vegetables","Younger","Functioning",0.880149525535533,0.999975,0.434938986824835,1.40495025189249
"animal products","Older","Capabilities",0.211147791815637,0.95735,-0.0289110960189654,0.453665158166905
"animal products","Older","Choice",0.260572613880442,0.964525,-0.0217788334154813,0.586837224056237
"animal products","Older","Functioning",0.47172040569608,0.997925,0.144441181922549,0.823687571942028
"animal products","Overall","Capabilities",0.153546296263027,0.940925,-0.03958389653587,0.343897287763706
"animal products","Overall","Choice",0.369267974766883,0.9996,0.138259007658153,0.632542243052621
"animal products","Overall","Functioning",0.52281427102991,0.99995,0.260848166798417,0.805712225158679
"animal products","Younger","Capabilities",0.0482412365641335,0.626075,-0.24712297609408,0.339621925217408
"animal products","Younger","Choice",0.59686403713899,0.999875,0.25656875289568,0.992043843116613
"animal products","Younger","Functioning",0.645105273703123,0.99905,0.237299045489317,1.0787785794666
"dietary diversity","Older","Capabilities",0.27608597363569,0.9864,0.0360057262477867,0.470213443276032
"dietary diversity","Older","Choice",0.0374279811665505,0.794425,-0.0265511057529534,0.285146542765277
"dietary diversity","Older","Functioning",0.31351395480224,0.9972,0.108969521864888,0.516543369470309
"dietary diversity","Overall","Capabilities",0.278640679844727,0.995375,0.0765781969918886,0.439780389466332
"dietary diversity","Overall","Choice",0.0376537495517747,0.81065,-0.0266683827395717,0.24657770731981
"dietary diversity","Overall","Functioning",0.316294429396502,0.9994,0.147969560643172,0.474857694438544
