hhcode,year,location,expenditure,food,micro,education1,education2,health,diversity,stunting,wasting,underweight,schooling,enrolled,illness1,illness2,large,small,poultry,animals,treated,head_age,elderly,head_sex,head_married,head_educ,head_sick,ovc,hhsize,age_5under,age_0617,age_1834,age_3549,age_5064,depend_ratio,sex_ratio,adult_educ,non_active,initial_exp,agriculture,salaried,casual,self,transfers,rooms,land,livestock,water,bike,radio,phone,mosquito,road,market,communication,electricity,district1,district2,district3,district4,district5,district6,sample_nutrition,sample_education
602000053,1,602,5480.579,68.90697,422.7656,254.842,38.2263,101.9368,6,-2.348626,-1.913554,-2.936061,-0.0669725,100,97.32143,75,0,0,0,0,1,59,0,1,0,0,0,2,4,1,1,0,1,1,0.5,0.5,1,1,4711.086,1,0,0,0,0,3,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,1
602000054,0,602,11157.97,62.47823,4920.594,866.6667,1016.667,333.3333,9,-2.75674,-0.790479,-2.437099,-0.443572,100,100,100,0,0,0,0,1,35,0,0,1,0,0,4,10,4,4,1,1,0,0.8,0.4,0,2,11157.97,0,0,1,0,0,4,2,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1
602000054,1,602,15435.99,55.31346,5793.282,226.2997,864.4241,672.7829,11,-1.906196,-2.073402,-2.613091,-0.8256559,57.14286,97.5,27.27273,0,0,0,0,1,35,0,0,1,0,0,4,10,4,4,1,1,0,0.8,0.4,0,2,11157.97,0,0,1,0,0,4,2,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1
602000055,0,602,8596.87,82.55179,2727.5,0,0,100,7,-2.746645,1.053907,-1.021495,0.3289734,100,100,100,0,0,0,0,1,70,1,1,0,0,0,1,7,1,2,2,1,0,0.5714286,0.5714286,2,2,8596.87,1,0,0,0,0,6,3,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,1
602000055,1,602,8331.01,36.2391,3653.951,168.1957,254.842,3359.837,7,-1.352532,-1.22517,-1.693293,0.0528385,100,61.16071,50,0,0,0,0,1,70,1,1,0,0,0,1,7,1,2,2,1,0,0.5714286,0.5714286,2,2,8596.87,1,0,0,0,0,6,3,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,1
602000056,0,602,9978.561,66.47813,2331.805,0,166.6667,61.66667,10,,,,0.2377763,100,100,100,0,0,7,7,1,33,0,1,1,6,0,3,4,0,3,1,0,0,0.75,0.25,0,0,9978.561,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1
602000056,1,602,10065.28,67.90979,2300.858,448.5219,1839.959,71.35576,8,,,,0.4413797,100,97.32143,50,0,0,0,0,1,33,0,1,1,6,0,3,4,0,3,1,0,0,0.75,0.25,0,0,9978.561,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1
602000057,0,602,5774.784,79.85494,948.9081,25,83.33334,166.6667,9,,,,-0.336264,88.88889,99.10346,90.9091,0,0,4,4,1,37,0,1,0,6,0,6,12,1,9,1,1,0,0.8333333,0.3333333,0,1,5774.784,0,0,0,1,0,3,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,1
602000057,1,602,14881.77,61.27067,5835.14,1743.119,254.842,705.4026,10,0.6194928,-1.218635,-1.585968,0.3634192,100,100,0,0,0,3,3,1,37,0,1,0,6,0,6,12,1,9,1,1,0,0.8333333,0.3333333,0,1,5774.784,0,0,0,1,0,3,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,1
602000058,0,602,13772.04,87.65615,4593.973,0,0,0,8,-3.218868,2.378926,-0.1413341,0.3503753,100,100,100,0,0,0,0,1,27,0,1,0,8,0,4,15,2,8,4,1,0,0.6666667,0.4,5,5,13772.04,1,0,0,0,0,5,3,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,1
602000058,1,602,21386.78,49.34613,8103.898,318.5525,157.9001,1753.313,12,-2.222741,0.7796982,-0.9550254,0.1093807,100,92.63393,64.70589,0,0,0,0,1,27,0,1,0,8,0,4,15,2,8,4,1,0,0.6666667,0.4,5,5,13772.04,1,0,0,0,0,5,3,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,1
